Frequency_Hz	Amplitude_dBm
4324502722.500000	-61.352680
4332252711.250000	-61.196075
4340002700.000000	-60.972515
4347752688.750000	-59.453388
4355502677.500000	-60.938339
4363252666.250000	-61.046963
4371002655.000000	-61.624195
4378752643.750000	-60.192745
4386502632.500000	-60.390984
4394252621.250000	-60.845329
4402002610.000000	-59.884209
4409752598.750000	-61.870453
4417502587.500000	-60.472668
4425252576.250000	-62.048622
4433002565.000000	-61.479008
4440752553.750000	-61.517906
4448502542.500000	-61.835247
4456252531.250000	-60.575603
4464002520.000000	-61.160767
4471752508.750000	-61.293354
4479502497.500000	-61.482430
4487252486.250000	-60.281879
4495002475.000000	-61.066334
4502752463.750000	-60.714497
4510502452.500000	-61.054485
4518252441.250000	-61.327496
4526002430.000000	-60.393482
4533752418.750000	-61.220078
4541502407.500000	-60.955822
4549252396.250000	-61.398922
4557002385.000000	-61.986343
4564752373.750000	-60.263927
4572502362.500000	-61.315281
4580252351.250000	-61.764740
4588002340.000000	-62.442699
4595752328.750000	-61.073563
4603502317.500000	-60.984985
4611252306.250000	-61.157295
4619002295.000000	-60.551170
4626752283.750000	-61.850384
4634502272.500000	-59.874123
4642252261.250000	-60.433491
4650002250.000000	-61.173420
4657752238.750000	-61.258686
4665502227.500000	-61.499088
4673252216.250000	-61.197632
4681002205.000000	-62.103672
4688752193.750000	-60.666470
4696502182.500000	-61.327305
4704252171.250000	-61.782574
4712002160.000000	-59.862541
4719752148.750000	-62.411503
4727502137.500000	-61.591049
4735252126.250000	-62.550720
4743002115.000000	-60.885372
4750752103.750000	-60.751091
4758502092.500000	-61.430290
4766252081.250000	-61.046368
4774002070.000000	-61.968937
4781752058.750000	-61.294579
4789502047.500000	-61.936512
4797252036.250000	-61.615990
4805002025.000000	-60.721733
4812752013.750000	-60.425732
4820502002.500000	-60.934349
4828251991.250000	-60.850445
4836001980.000000	-60.644306
4843751968.750000	-60.864861
4851501957.500000	-60.901993
4859251946.250000	-61.093555
4867001935.000000	-61.229317
4874751923.750000	-61.168598
4882501912.500000	-61.270321
4890251901.250000	-61.068531
4898001890.000000	-62.055683
4905751878.750000	-62.203796
4913501867.500000	-60.967884
4921251856.250000	-61.663036
4929001845.000000	-60.271263
4936751833.750000	-62.394173
4944501822.500000	-60.382587
4952251811.250000	-61.528473
4960001800.000000	-60.094860
4967751788.750000	-60.969948
4975501777.500000	-60.786598
4983251766.250000	-60.454220
4991001755.000000	-61.522362
4998751743.750000	-59.795235
5006501732.500000	-60.904633
5014251721.250000	-60.470131
5022001710.000000	-59.995647
5029751698.750000	-61.829239
5037501687.500000	-60.080414
5045251676.250000	-60.760777
5053001665.000000	-60.958649
5060751653.750000	-61.095009
5068501642.500000	-61.071854
5076251631.250000	-60.707630
5084001620.000000	-61.608967
5091751608.750000	-60.717373
5099501597.500000	-61.208782
5107251586.250000	-59.915249
5115001575.000000	-61.962910
5122751563.750000	-60.752537
5130501552.500000	-61.350082
5138251541.250000	-61.285645
5146001530.000000	-60.868046
5153751518.750000	-61.641113
5161501507.500000	-62.182781
5169251496.250000	-60.532269
5177001485.000000	-60.885311
5184751473.750000	-61.224289
5192501462.500000	-62.731052
5200251451.250000	-60.880539
5208001440.000000	-61.453362
5215751428.750000	-60.041843
5223501417.500000	-61.376377
5231251406.250000	-61.039261
5239001395.000000	-61.739544
5246751383.750000	-61.595673
5254501372.500000	-60.102970
5262251361.250000	-62.211182
5270001350.000000	-60.737461
5277751338.750000	-60.644352
5285501327.500000	-60.407326
5293251316.250000	-61.777321
5301001305.000000	-61.246403
5308751293.750000	-61.072121
5316501282.500000	-61.268307
5324251271.250000	-60.639702
5332001260.000000	-62.019405
5339751248.750000	-61.671116
5347501237.500000	-61.669479
5355251226.250000	-60.551361
5363001215.000000	-61.493938
5370751203.750000	-61.543491
5378501192.500000	-61.006294
5386251181.250000	-61.552422
5394001170.000000	-60.281384
5401751158.750000	-61.303814
5409501147.500000	-62.170586
5417251136.250000	-60.841412
5425001125.000000	-60.949341
5432751113.750000	-60.988140
5440501102.500000	-62.568760
5448251091.250000	-61.188820
5456001080.000000	-61.046768
5463751068.750000	-60.649021
5471501057.500000	-59.849487
5479251046.250000	-61.965542
5487001035.000000	-60.331211
5494751023.750000	-61.582027
5502501012.500000	-61.295631
5510251001.250000	-61.541145
5518000990.000000	-61.701157
5525750978.750000	-61.051895
5533500967.500000	-61.074619
5541250956.250000	-61.202709
5549000945.000000	-62.232857
5556750933.750000	-61.980511
5564500922.500000	-62.336346
5572250911.250000	-61.639687
5580000900.000000	-61.240273
5587750888.750000	-62.046539
5595500877.500000	-61.365788
5603250866.250000	-61.667000
5611000855.000000	-60.849686
5618750843.750000	-60.924252
5626500832.500000	-61.389671
5634250821.250000	-61.175373
5642000810.000000	-60.814270
5649750798.750000	-60.105724
5657500787.500000	-61.704796
5665250776.250000	-61.185242
5673000765.000000	-60.710205
5680750753.750000	-61.867901
5688500742.500000	-60.651424
5696250731.250000	-62.259724
5704000720.000000	-61.291489
5711750708.750000	-61.610214
5719500697.500000	-60.976170
5727250686.250000	-61.276833
5735000675.000000	-61.807850
5742750663.750000	-61.641037
5750500652.500000	-61.601582
5758250641.250000	-59.525578
5766000630.000000	-61.731689
5773750618.750000	-60.442905
5781500607.500000	-61.577248
5789250596.250000	-60.559090
5797000585.000000	-60.923687
5804750573.750000	-61.116795
5812500562.500000	-61.137596
5820250551.250000	-61.441212
5828000540.000000	-60.290123
5835750528.750000	-61.317513
5843500517.500000	-61.754791
5851250506.250000	-60.213417
5859000495.000000	-61.424889
5866750483.750000	-60.505383
5874500472.500000	-61.568424
5882250461.250000	-61.120293
5890000450.000000	-60.359604
5897750438.750000	-61.670094
5905500427.500000	-60.652431
5913250416.250000	-61.806713
5921000405.000000	-60.709606
5928750393.750000	-61.509384
5936500382.500000	-59.533203
5944250371.250000	-61.233444
5952000360.000000	-61.039837
5959750348.750000	-60.704670
5967500337.500000	-61.606281
5975250326.250000	-60.509556
5983000315.000000	-61.130440
5990750303.750000	-61.543350
5998500292.500000	-60.809666
6006250281.250000	-60.567097
6014000270.000000	-60.660145
6021750258.750000	-60.378143
6029500247.500000	-61.062668
6037250236.250000	-60.633373
6045000225.000000	-60.748318
6052750213.750000	-60.783604
6060500202.500000	-61.533867
6068250191.250000	-60.916313
6076000180.000000	-61.609478
6083750168.750000	-60.515892
6091500157.500000	-61.716465
6099250146.250000	-62.008419
6107000135.000000	-61.268288
6114750123.750000	-60.768082
6122500112.500000	-61.059399
6130250101.250000	-61.638538
6138000090.000000	-60.935783
6145750078.750000	-60.900387
6153500067.500000	-60.208309
6161250056.250000	-60.812042
6169000045.000000	-62.063820
6176750033.750000	-60.938320
6184500022.500000	-61.983170
6192250011.250000	-60.648083
6200000000.000000	-60.772881
